PMID	Title	Authors	AuthorsFullName	AuthorsAffiliation	JournalTitleAbbreviation	JournalTitle	ISSN	PlaceofPublication	Abstract	keywords	MeSHTerms	Date	ArticleIdentifier   																																									

35123402	Post-operative gastric outlet obstruction of giant hiatal hernia repair: a case report.	Li Z;Xie F;Zhu L;Sun L	"Li, ZhaoPeng;Xie, FuJia;Zhu, Lin;Sun, Liang"	"Department of Gastrointestinal and Hernia Surgery, First Affiliated Hospital of Kunming Medical University, 295 Xichang Road, Wuhua, Kunming, 650032, Yunnan Province, China.;Department of Gastrointestinal and Hernia Surgery, First Affiliated Hospital of Kunming Medical University, 295 Xichang Road, Wuhua, Kunming, 650032, Yunnan Province, China.;Department of Gastrointestinal and Hernia Surgery, First Affiliated Hospital of Kunming Medical University, 295 Xichang Road, Wuhua, Kunming, 650032, Yunnan Province, China.;Department of Gastrointestinal and Hernia Surgery, First Affiliated Hospital of Kunming Medical University, 295 Xichang Road, Wuhua, Kunming, 650032, Yunnan Province, China. bsunq@qq.com."	BMC Gastroenterol	BMC gastroenterology	1471-230X (Electronic) 1471-230X (Linking)	England	"BACKGROUND: Giant hiatal hernia is defined as those with more than 30% of the stomach herniating into the chest cavity. The transabdominal laparoscopic approach is the well-established repair form for giant hiatal hernia. To our best knowledge, reports on post-operative gastric outlet obstruction of giant hiatal hernia repair have been scanty up till now. CASE PRESENTATION: A 45-year-old female patient was referred to the Emergency Department of our hospital with a chief complaint of acute right epigastric pain for 2 days. Physical examination revealed mild tenderness in the right epigastrium, without rebound tenderness or guarding. The abdominal computed tomography scan revealed a large low-density gastric artifact in the lower mediastinum-giant hiatal hernia. The barium swallow esophagogram and gastroscopy also confirmed the presence of a giant hiatal hernia. A transabdominal laparoscopic operation for reduction of the hernia contents and repair of the hiatal defect was performed. Her right epigastric pain alleviated obviously on the first postoperative day. On post-operative day five, however, she was presented with nausea and vomiting independent of meals. The nasogastric tube was inserted and kept in the stomach for 7 days. After removing the nasogastric tube, severe nausea and vomiting of the patient occurred again. Barium swallow revealed gastroptosis and enfoldment in the duodenal bulb, which indicated the presence of gastric outlet obstruction. Gastrojejunostomy was performed for her to relieve the gastric outlet obstruction. The patient was discharged on the tenth day after the second operation without any discomfort. During the regular follow-up period, she felt well and was satisfied with her status. CONCLUSIONS: Facing the giant hiatal hernia repair, the reduction of the hernia contents and repair of the hiatal defect being well operated on are insufficient, and we must watch out the anatomical variation, like the deviation of partial intra-abdominal organs from their normal positions, as well as paying attention to the protection of abdominal vagal nerve during the operation. Post-operative gastric outlet obstruction of giant hiatal hernia repair is rare, while gastrojejunostomy can successfully relieve the gastric outlet obstruction."	�Case report; Complications; Giant hiatal hernia; Laparoscopy; Surgery.	"Female;*Gastric Outlet Obstruction/etiology/surgery;*Hernia, Hiatal/complications/diagnostic imaging/surgery;Herniorrhaphy;Humans;*Laparoscopy;Middle Aged"	2022	10.1186/s12876-022-02117-z 																																									

30981073	Surgical treatment of gastric outlet obstruction from a large trichobezoar: A case report.	Chahine E;Baghdady R;El Kary N;Dirani M;Hayek M;Saikaly E;Chouillard E	"Chahine, E;Baghdady, R;El Kary, N;Dirani, M;Hayek, M;Saikaly, E;Chouillard, E"	"Department of Minimally Invasive Surgery, Poissy Saint Germain Medical Center, Poissy, France.;Department of Minimally Invasive Surgery, Poissy Saint Germain Medical Center, Poissy, France. Electronic address: ramez.baghdady@outlook.com.;Department of Minimally Invasive Surgery, Poissy Saint Germain Medical Center, Poissy, France.;Department of Minimally Invasive Surgery, Poissy Saint Germain Medical Center, Poissy, France.;Department of Minimally Invasive Surgery, Poissy Saint Germain Medical Center, Poissy, France.;Faculty of Medicine, Saint George Hospital University Medical Center, University of Balamand, Beirut, Lebanon.;Department of Minimally Invasive Surgery, Poissy Saint Germain Medical Center, Poissy, France."	Int J Surg Case Rep	International journal of surgery case reports	2210-2612 (Print) 2210-2612 (Linking)	Netherlands	"INTRODUCTION: Bezoars are concretions of foreign indigestible material accumulating in the gastrointestinal tract leading to intraluminal mass formation that impairs the gastrointestinal motility and can lead to gastric obstruction of the small or the large bowel. There are different types of bezoars, named according to the material they are made of. These include phytobezoar, lactobezoar, pharmacobezoar, trichobezoar, and polybezoar. Trichobezoars (hair ball) are usually located in the stomach but may extend through the pylorus into the duodenum and small bowel (Rapunzel syndrome). CASE PRESENTATION: Herein, we report a case of a young adult female known to have a long-standing trichophagia who presented with gastric outlet obstruction due to a large trichobezoar. Endoscopy revealed a large and hard gastric trichobezoar not amenable to endoscopic retrieval leading to surgical extraction as a last resort. DISCUSSION: They are almost always associated with trichotillomania and trichophagia or other psychiatric disorders. Trichobezoar can be treated either surgically by laparotomy/laparoscopy or by endoscopic intervention. CONCLUSION: Treatment should be coupled to psychiatric evaluation and therapy to prevent recurrence."	�Bezoars; Case report; Gastric outlet obstruction; Pica disorder.		2019	10.1016/j.ijscr.2019.04.002 																																									

32309399	Rare gastric outlet obstruction owing to ectopic pancreas: a case report and literature review.	Yokoyama K;Sato H;Sato Y;Watanabe J;Nakamura A;Terai S	"Yokoyama, Kunihiko;Sato, Hiroki;Sato, Yuichi;Watanabe, Jun;Nakamura, Atsuo;Terai, Shuji"	"Division of Gastroenterology and Hepatology, Niigata prefectural Yoshida Hospital, Niigata, Japan.;Division of Gastroenterology and Hepatology, Niigata University Medical and Dental Hospital, Niigata, Japan.;Division of Gastroenterology and Hepatology, Niigata University Medical and Dental Hospital, Niigata, Japan.;Division of Gastroenterology and Hepatology, Niigata prefectural Yoshida Hospital, Niigata, Japan.;Division of Gastroenterology and Hepatology, Niigata prefectural Yoshida Hospital, Niigata, Japan.;Division of Gastroenterology and Hepatology, Niigata prefectural Yoshida Hospital, Niigata, Japan.;Division of Gastroenterology and Hepatology, Niigata University Medical and Dental Hospital, Niigata, Japan."	Ann Transl Med	Annals of translational medicine	2305-5839 (Print) 2305-5839 (Linking)	China	"The ectopic pancreas is often observed in the gastrointestinal tract, and is typically asymptomatic. A 28-year-old woman was referred to our hospital following repeated vomiting after every meal. Following gastroscopy, contrast-enhanced computed tomography (CE-CT), and endoscopic ultrasonography (EUS), she was diagnosed with gastric outlet obstruction, also known as pyloric obstruction, caused by a giant submucosal cystic tumor. The condition was successfully treated with EUS-guided cystic drainage, and she was diagnosed with a cystic tumor originating from the ectopic pancreas. The tumor shrank following EUS-guided cystic drainage, and her obstructive symptoms resolved. In cases with overgrowth of the ectopic pancreas, the differential diagnosis of malignancy is important but challenging. Herein, we report a unique final pathology of this rare case and discuss the findings with a literature review."	"�Case report; ectopic pancreas; gastric outlet obstruction, endoscopic ultrasonography (EUS)."		2020	10.21037/atm.2020.01.64 																																									

34544364	IgG4-related disease as a rare cause of gastric outlet obstruction: a case report and literature review.	Chen L;Almudaires A;Alzahrani M;Qumosani K;Chakrabarti S	"Chen, Lina;Almudaires, Abdulaziz;Alzahrani, May;Qumosani, Karim;Chakrabarti, Subrata"	"Department of Laboratory Medicine and Molecular Diagnostics, Sunnybrook Health Sciences Centre, University of Toronto, Toronto, ON, Canada.;Department of Pathology and Laboratory Medicine, London Health Sciences Centre and Western University, London, ON, Canada.;Division of Gastroenterology, Department of Medicine, London Health Sciences Centre and Western University, London, ON, Canada.;Division of Gastroenterology, Department of Medicine, London Health Sciences Centre and Western University, London, ON, Canada.;Division of Gastroenterology, Department of Medicine, London Health Sciences Centre and Western University, London, ON, Canada.;Department of Pathology and Laboratory Medicine, London Health Sciences Centre and Western University, London, ON, Canada. Subrata.Chakrabarti@lhsc.on.ca."	BMC Gastroenterol	BMC gastroenterology	1471-230X (Electronic) 1471-230X (Linking)	England	"BACKGROUND: IgG4-related disease involvement of the digestive tract is very rare. In few reported cases of isolated gastric/duodenal IgG4-related disease, none of which resulted in luminal obstruction. CASE PRESENTATION: A 59 years old female presented with longstanding gastrointestinal symptoms. CT showed mural thickening of the proximal duodenum. Gastroscopy showed antral ulcer extending into the duodenum with outlet obstruction and biopsy showed acute on chronic duodenitis. Whipple's procedure was performed and IgG4-related disease was diagnosed on final pathology. Symptoms were revolved on mycophenolate mofetil and prednisone with no recurrence. CONCLUSIONS: Our case is the only reported case with gastric outlet obstruction secondary to gastroduodenal IgG4-related disease. The diagnosis should be considered in the differential diagnosis of unexplained duodenal stricture, gastric outlet obstruction or gastrointestinal ulceration. IgG4-related disease usually responds to steroids but long-term response rates to steroid-sparing agents, especially in the subset of patients with luminal IgG4-related disease remains to be determined."	�Case report; Gastric outlet obstruction; Gastrointestinal ulceration; IgG4-related disease.	"Duodenum;Female;*Gastric Outlet Obstruction/etiology;Gastroscopy;Humans;*Immunoglobulin G4-Related Disease/complications/diagnosis/drug therapy;Middle Aged;Neoplasm Recurrence, Local"	2021	10.1186/s12876-021-01927-x 																																									

30782160	Esophageal perforation secondary to malignant gastric outlet obstruction: a case report.	Johnson HM;Anciano CJ;Laks S	"Johnson, Helen M;Anciano, Carlos J;Laks, Shachar"	"Department of Surgery, Division of Surgical Oncology, East Carolina University Brody School of Medicine, Greenville, NC, USA.;Department of Cardiovascular Sciences, Division of Thoracic Surgery, East Carolina University Brody School of Medicine, Greenville, NC, USA.;Department of Surgery, Division of Surgical Oncology, East Carolina University Brody School of Medicine, Greenville, NC, USA. lakss17@ecu.edu."	World J Surg Oncol	World journal of surgical oncology	1477-7819 (Electronic) 1477-7819 (Linking)	England	"BACKGROUND: Esophageal perforation is a rare presenting sign of gastric cancer. To date, only nine case reports of this phenomenon have been previously published. CASE PRESENTATION: Esophageal perforation was diagnosed radiographically during workup for acute chest pain in a 67-year-old man. Emergent endoscopy confirmed esophageal perforation and biopsied a pre-pyloric mass confirmed to be adenocarcinoma. The perforation was managed with endoscopically placed transluminal pleural and mediastinal drains and esophageal stenting. The gastric outlet obstruction was temporized with a transpyloric stent. After the patient recovered from sepsis, distal gastrectomy was performed and he made a full recovery. CONCLUSIONS: Rarely, pre-pyloric gastric cancer can present with Boerhaave syndrome, spontaneous esophageal perforation associated with forceful vomiting. We present the tenth report in the literature of this phenomenon and the first to be initially treated with endoscopic stenting and transluminal thoracoscopic drainage. When endoscopic management is used to treat patients with Boerhaave syndrome, it may be beneficial to examine the entire stomach to evaluate for malignant etiology."	�Boerhaave; Endoscopic stent; Esophageal perforation; Esophageal stent; Gastric adenocarcinoma; Gastric cancer; Gastric outlet obstruction; Thoracoscopic drain; Transluminal endoscopy.	"Aged;Drainage/*methods;Endoscopy, Gastrointestinal/instrumentation/*methods;Esophageal Perforation/*diagnosis/etiology/surgery;Gastric Outlet Obstruction/diagnostic imaging/*etiology/surgery;Humans;Male;Mediastinal Diseases/*diagnosis/etiology/surgery;Prognosis;Stents;Stomach/diagnostic imaging/surgery;Stomach Neoplasms/*complications/diagnostic imaging/surgery;Tomography, X-Ray Computed;Treatment Outcome"	2019	10.1186/s12957-019-1576-x 																																									

28944343	Closed-perforation of gastric fundus and gastric outlet obstruction caused by a giant gastric trichobezoar: A case report.	Gurbulak B;Segmen O;Rakici T;Buyukasik K;Yavas M	"Gurbulak, Bunyamin;Segmen, Ozgur;Rakici, Taskin;Buyukasik, Kenan;Yavas, Mazlum"	"Clinic of General Surgery, Istanbul Training and Research Hospital, Istanbul, Turkey.;Clinic of General Surgery, Istanbul Training and Research Hospital, Istanbul, Turkey.;Clinic of Radiodiagnosis, Istanbul Training and Research Hospital, Istanbul, Turkey.;Clinic of General Surgery, Istanbul Training and Research Hospital, Istanbul, Turkey.;Clinic of General Surgery, Istanbul Training and Research Hospital, Istanbul, Turkey."	Turk J Surg	Turkish journal of surgery	2564-6850 (Print) 2564-6850 (Linking)	Turkey	"A bezoar is a mass formed because of the accumulation of indigestible material in the stomach and/or small intestine. Bezoars are rare but occasionally occur with acute abdomen findings. Bezoars form as a result of changes in the gastrointestinal system anatomy and physiology and repetitive exposure to the ingested material. These materials can include vegetables with high fiber content (phytobezoars), non-animal origin fats, hair (trichobezoars), or drugs such as anti-acids (pharmobezoars). Gastric bezoars frequently occur after gastric surgery. Psychiatric disorders such as trichotillomania (an irresistible urge to remove and swallow one's own hair) are frequently the underlying reason in patients without a history of gastric surgery. In this article, we presented a giant gastric trichobezoar obstructing outlet and causing closed-perforation and abscess formation of gastric fundus in a 30-year-old woman."	�Bezoar; closed-perforation of stomach; gastric outlet obstruction; trichobezoar.		2017	10.5152/UCD.2015.2994 																																									

30046442	Paraestomal hernia with gastric outlet obstruction: a case report and literature review.	de Andrade VA;Coy CSR;Fagundes JJ;Soares PFDC;Setsuko Ayrizono ML;Real Martinez CA	"de Andrade, Vitor Augusto;Coy, Claudio Saddy Rodrigues;Fagundes, Joao Jose;Soares, Pedro Franca da Costa;Setsuko Ayrizono, Maria de Lourdes;Real Martinez, Carlos Augusto"	"Colorectal Division of Department of Surgery, Faculty of Medical Sciences of Campinas State University, Campinas, Sao Paulo, Brazil.;Colorectal Division of Department of Surgery, Faculty of Medical Sciences of Campinas State University, Campinas, Sao Paulo, Brazil.;Colorectal Division of Department of Surgery, Faculty of Medical Sciences of Campinas State University, Campinas, Sao Paulo, Brazil.;Colorectal Division of Department of Surgery, Faculty of Medical Sciences of Campinas State University, Campinas, Sao Paulo, Brazil.;Colorectal Division of Department of Surgery, Faculty of Medical Sciences of Campinas State University, Campinas, Sao Paulo, Brazil.;Colorectal Division of Department of Surgery, Faculty of Medical Sciences of Campinas State University, Campinas, Sao Paulo, Brazil.;Post-Graduate Program in Health Sciences of Sao Francisco University, Braganca Paulista, Sao Paulo, Brazil."	J Surg Case Rep	Journal of surgical case reports	2042-8812 (Print) 2042-8812 (Linking)	England	"An 69-year-old obese woman was submitted to an abdominoperineal resection (APR) with left side end colostomy to treat a synchronic sigmoid and middle rectum cancer. Six months after APR, she develop a PH with a progressive increase of the size. The patient refused the surgical indication. Thirteen years after APR she presenting with abdominal pain, hematemesis, bilious vomiting and non-functioning of the stoma in the last 2 days. She had a distended and painful abdomen without signs of peritoneal irritation and a large incarcerated PH. CT showed a PH with incarcerated gastric herniation. Endoscopy showed a 4 cm ulcerated lesion in the lesser curvature of the stomach whose posteriorly histopathological study revealed that it was an ischemic ulcer. She was submitted a correction of PH using an onlay polypropylene mesh put around of the previous stoma. The patient has an uneventful recovery and was discharged 3 days later."			2018	10.1093/jscr/rjy177 																																									

30402234	Gastric outlet obstruction caused by metastatic tumor of the stomach originating from primary breast cancer: A case report.	Ogawa M;Namikawa T;Oki T;Iwabu J;Munekage M;Maeda H;Tamura T;Yatabe T;Kitagawa H;Dabanaka K;Sugimoto T;Kobayashi M;Hanazaki K	"Ogawa, Maho;Namikawa, Tsutomu;Oki, Toyokazu;Iwabu, Jun;Munekage, Masaya;Maeda, Hiromichi;Tamura, Takahiko;Yatabe, Tomoaki;Kitagawa, Hiroyuki;Dabanaka, Ken;Sugimoto, Takeki;Kobayashi, Michiya;Hanazaki, Kazuhiro"	"Department of Surgery, Kochi Medical School, Nankoku, Kochi 783-8505, Japan.;Department of Surgery, Kochi Medical School, Nankoku, Kochi 783-8505, Japan.;Department of Surgery, Kochi Medical School, Nankoku, Kochi 783-8505, Japan.;Department of Surgery, Kochi Medical School, Nankoku, Kochi 783-8505, Japan.;Department of Surgery, Kochi Medical School, Nankoku, Kochi 783-8505, Japan.;Cancer Treatment Center, Kochi Medical School Hospital, Nankoku, Kochi 783-8505, Japan.;Department of Anesthesiology and Intensive Care Medicine, Kochi Medical School, Nankoku, Kochi 783-8505, Japan.;Department of Anesthesiology and Intensive Care Medicine, Kochi Medical School, Nankoku, Kochi 783-8505, Japan.;Department of Surgery, Kochi Medical School, Nankoku, Kochi 783-8505, Japan.;Department of Surgery, Kochi Medical School, Nankoku, Kochi 783-8505, Japan.;Department of Surgery, Kochi Medical School, Nankoku, Kochi 783-8505, Japan.;Cancer Treatment Center, Kochi Medical School Hospital, Nankoku, Kochi 783-8505, Japan.;Department of Human Health and Medical Sciences, Kochi Medical School, Nankoku, Kochi 783-8505, Japan.;Department of Surgery, Kochi Medical School, Nankoku, Kochi 783-8505, Japan."	Mol Clin Oncol	Molecular and clinical oncology	2049-9450 (Print) 2049-9450 (Linking)	England	"The most common sites of breast cancer metastasis are the bone, liver, lung and brain, while gastrointestinal metastasis from breast cancer is rare. We herein present the case of a 68-year-old woman who was admitted to our department with nausea and appetite loss. The patient's medical history included right mastectomy with sentinel lymph node biopsy 5 years earlier for invasive lobular carcinoma, measuring 6.2 cm in greatest diameter, without lymphovascular invasion. Two years after the surgery, the patient developed brain metastasis and underwent metastasectomy to control the neurological symptoms, including unsteadiness and asthenia. After the second surgery, the patient received systemic chemotherapy using S-1, followed by bevacizumab plus paclitaxel. However, due to bevacizumab-related cardiotoxicity, the treatment was switched to eribulin. On esophagogastroduodenoscopy, an elevated lesion was identified in the antrum, causing severe narrowing of the gastric outlet. Biopsy and histological examination of the tumor revealed infiltration of the gastric wall by undifferentiated neoplastic cells with poor adhesion, morphologically similar to invasive lobular carcinoma, and immunohistochemical staining was positive for estrogen receptor, mammaglobin and GATA3. Finally, (18)F-2-deoxy-2-fluoro-D-glucose (FDG) positron emission tomography combined with computed tomography imaging revealed FDG uptake across the thickness of the antral wall. The patient was diagnosed with gastric metastasis from the original breast cancer and subsequently underwent endoscopic self-expandable metallic stent (SEMS) placement. There were no procedure-related adverse events, and the patient remained alive under best supportive care 4 months after SEMS placement. To the best of our knowledge, this is the first reported case of gastric outlet obstruction caused by metastatic breast carcinoma managed by SEMS placement. While such a diagnosis is rare, clinicians treating patients with gastric metastases should be aware of possible gastric outlet obstruction and SEMS placement as an effective palliative intervention."	�breast cancer; gastric outlet obstruction; lobular carcinoma; metastatic gastric tumor.		2018	10.3892/mco.2018.1722 																																									

